127.0.0.1 - - [01/Jul/2022:23:33:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:33:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1916
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:33:07 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:33:07 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:35:57 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1963
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:35:57 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:35:57 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:35:57 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:49:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2923
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:49:16 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:49:16 +0900] "GET /BBS/images/%EB%85%B8%EC%A0%9C.png HTTP/1.1" 200 552338
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:49:16 +0900] "GET /BBS/images/%EB%B6%80%EC%B2%9C%EB%8C%80%20%EB%A1%9C%EA%B3%A0.png HTTP/1.1" 200 478220
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:49:16 +0900] "GET /BBS/images/%EB%A7%88%EC%9D%B4%ED%8E%98%EC%9D%B4%EC%A7%80%20xml%20%EC%99%84%EC%84%B1.png HTTP/1.1" 200 87299
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:49:16 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:53:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2878
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:53:13 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:53:13 +0900] "GET /BBS/images/1.png HTTP/1.1" 200 552338
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:53:13 +0900] "GET /BBS/images/2.png HTTP/1.1" 200 87299
0:0:0:0:0:0:0:1 - - [01/Jul/2022:23:53:13 +0900] "GET /BBS/images/3.png HTTP/1.1" 200 478220
